champion,role,duo_champion,duo_role,winrate,matches
Kled,TOP,Kha'Zix,JUNGLE,54.97,151
Kled,TOP,Qiyana,JUNGLE,54.05,74
Kled,TOP,Zac,JUNGLE,53.45,58
Kled,TOP,Kindred,JUNGLE,51.85,27
Kled,TOP,Ekko,JUNGLE,51.45,138
Kled,TOP,Talon,JUNGLE,50.85,59
Kled,TOP,Lee Sin,JUNGLE,50.27,185
Kled,TOP,Shaco,JUNGLE,50.0,36
Kled,TOP,Warwick,JUNGLE,50.0,16
Kog'Maw,ADC,Neeko,SUPPORT,69.57,23
Kog'Maw,ADC,Lux,SUPPORT,60.0,15
Kog'Maw,ADC,Braum,SUPPORT,57.69,156
Kog'Maw,ADC,Leona,SUPPORT,55.81,43
Kog'Maw,ADC,Rakan,SUPPORT,55.32,47
Kog'Maw,ADC,Alistar,SUPPORT,54.55,66
Kog'Maw,ADC,Lulu,SUPPORT,54.27,691
Kog'Maw,ADC,Poppy,SUPPORT,52.94,17
Kog'Maw,ADC,Milio,SUPPORT,52.59,232
Kog'Maw,ADC,Pyke,SUPPORT,52.54,59
Kog'Maw,ADC,Blitzcrank,SUPPORT,52.5,40
Kog'Maw,ADC,Sona,SUPPORT,52.33,86
Kog'Maw,ADC,Seraphine,SUPPORT,51.52,33
Kog'Maw,ADC,Karma,SUPPORT,50.0,126
Kog'Maw,ADC,Senna,SUPPORT,50.0,44
Kog'Maw,ADC,Soraka,SUPPORT,50.0,48
LeBlanc,MID,Ivern,JUNGLE,67.27,55
LeBlanc,MID,Karthus,JUNGLE,62.96,54
LeBlanc,MID,Briar,JUNGLE,54.9,51
LeBlanc,MID,Kindred,JUNGLE,54.55,88
LeBlanc,MID,Zed,JUNGLE,53.92,204
LeBlanc,MID,Zac,JUNGLE,53.47,101
LeBlanc,MID,Graves,JUNGLE,52.94,187
LeBlanc,MID,Naafiri,JUNGLE,52.87,87
LeBlanc,MID,Lee Sin,JUNGLE,52.04,711
LeBlanc,MID,Fiddlesticks,JUNGLE,52.0,50
LeBlanc,MID,Zyra,JUNGLE,52.0,50
LeBlanc,MID,Rek'Sai,JUNGLE,51.46,171
LeBlanc,MID,Rengar,JUNGLE,51.1,182
LeBlanc,MID,Volibear,JUNGLE,50.81,124
LeBlanc,MID,Elise,JUNGLE,50.79,63
LeBlanc,MID,Ekko,JUNGLE,50.7,215
LeBlanc,MID,Jarvan IV,JUNGLE,50.56,269
LeBlanc,MID,Diana,JUNGLE,50.22,225
LeBlanc,MID,Kha'Zix,JUNGLE,50.13,387
LeBlanc,MID,Bel'Veth,JUNGLE,50.0,78
LeBlanc,MID,Evelynn,JUNGLE,50.0,60
LeBlanc,MID,Hecarim,JUNGLE,50.0,180
LeBlanc,MID,Lillia,JUNGLE,50.0,38
LeBlanc,MID,Master Yi,JUNGLE,50.0,124
Lee Sin,JUNGLE,Renata Glasc,SUPPORT,55.38,130
Lee Sin,JUNGLE,Elise,SUPPORT,55.28,246
Lee Sin,JUNGLE,Poppy,SUPPORT,55.05,218
Lee Sin,JUNGLE,Leona,SUPPORT,54.81,863
Lee Sin,JUNGLE,Thresh,SUPPORT,54.44,1429
Lee Sin,JUNGLE,Seraphine,SUPPORT,54.05,370
Lee Sin,JUNGLE,Neeko,SUPPORT,53.91,562
Lee Sin,JUNGLE,Senna,SUPPORT,53.35,373
Lee Sin,JUNGLE,Rakan,SUPPORT,53.28,792
Lee Sin,JUNGLE,Alistar,SUPPORT,53.1,840
Lee Sin,JUNGLE,Lux,SUPPORT,52.97,219
Lee Sin,JUNGLE,Sona,SUPPORT,52.58,698
Lee Sin,JUNGLE,Janna,SUPPORT,52.28,526
Lee Sin,JUNGLE,Zilean,SUPPORT,52.28,241
Lee Sin,JUNGLE,Maokai,SUPPORT,51.95,154
Lee Sin,JUNGLE,Braum,SUPPORT,51.74,1409
Lee Sin,JUNGLE,Pyke,SUPPORT,51.15,782
Lee Sin,JUNGLE,Morgana,SUPPORT,50.93,214
Lee Sin,JUNGLE,Taric,SUPPORT,50.76,264
Lee Sin,JUNGLE,Bard,SUPPORT,50.43,1156
Lee Sin,JUNGLE,Milio,SUPPORT,50.3,501
Leona,SUPPORT,Swain,ADC,59.92,237
Leona,SUPPORT,Nilah,ADC,58.33,108
Leona,SUPPORT,Zeri,ADC,56.45,124
Leona,SUPPORT,Mel,ADC,55.95,84
Leona,SUPPORT,Miss Fortune,ADC,55.1,608
Leona,SUPPORT,Ashe,ADC,54.76,210
Leona,SUPPORT,Samira,ADC,54.58,491
Leona,SUPPORT,Cassiopeia,ADC,53.47,101
Leona,SUPPORT,Sivir,ADC,53.13,335
Leona,SUPPORT,Seraphine,ADC,53.09,81
Leona,SUPPORT,Ziggs,ADC,52.48,202
Leona,SUPPORT,Jinx,ADC,52.34,470
Leona,SUPPORT,Corki,ADC,52.13,470
Leona,SUPPORT,Ezreal,ADC,52.06,824
Leona,SUPPORT,Kai'Sa,ADC,51.77,1354
Leona,SUPPORT,Draven,ADC,51.53,295
Leona,SUPPORT,Veigar,ADC,50.85,59
Lillia,JUNGLE,Zilean,SUPPORT,66.67,36
Lillia,JUNGLE,Blitzcrank,SUPPORT,58.44,77
Lillia,JUNGLE,Soraka,SUPPORT,56.25,64
Lillia,JUNGLE,Pyke,SUPPORT,56.12,98
Lillia,JUNGLE,Maokai,SUPPORT,55.56,18
Lillia,JUNGLE,Milio,SUPPORT,54.9,102
Lillia,JUNGLE,Janna,SUPPORT,54.29,105
Lillia,JUNGLE,Taric,SUPPORT,54.29,35
Lillia,JUNGLE,Alistar,SUPPORT,54.13,109
Lillia,JUNGLE,Rakan,SUPPORT,53.85,104
Lillia,JUNGLE,Renata Glasc,SUPPORT,53.33,15
Lillia,JUNGLE,Sona,SUPPORT,53.27,107
Lillia,JUNGLE,Rell,SUPPORT,52.7,74
Lillia,JUNGLE,Morgana,SUPPORT,52.63,19
Lillia,JUNGLE,Lux,SUPPORT,50.0,22
Lillia,JUNGLE,Poppy,SUPPORT,50.0,34
Lissandra,MID,Bel'Veth,JUNGLE,58.82,34
Lissandra,MID,Nunu & Willump,JUNGLE,58.06,62
Lissandra,MID,Rek'Sai,JUNGLE,56.12,98
Lissandra,MID,Master Yi,JUNGLE,55.86,111
Lissandra,MID,Evelynn,JUNGLE,55.81,43
Lissandra,MID,Talon,JUNGLE,55.56,135
Lissandra,MID,Hecarim,JUNGLE,54.39,114
Lissandra,MID,Jarvan IV,JUNGLE,53.66,164
Lissandra,MID,Karthus,JUNGLE,52.0,25
Lissandra,MID,Zac,JUNGLE,52.0,75
Lissandra,MID,Graves,JUNGLE,51.92,104
Lissandra,MID,Kindred,JUNGLE,51.85,54
Lissandra,MID,Kha'Zix,JUNGLE,51.82,220
Lissandra,MID,Xin Zhao,JUNGLE,51.67,60
Lissandra,MID,Qiyana,JUNGLE,51.24,121
Lissandra,MID,Viego,JUNGLE,50.96,571
Lissandra,MID,Elise,JUNGLE,50.0,34
Lissandra,MID,Kayn,JUNGLE,50.0,54
Lucian,ADC,Yuumi,SUPPORT,54.31,882
Lucian,ADC,Blitzcrank,SUPPORT,53.79,277
Lucian,ADC,Taric,SUPPORT,53.78,344
Lucian,ADC,Zilean,SUPPORT,52.69,93
Lucian,ADC,Elise,SUPPORT,52.52,139
Lucian,ADC,Lulu,SUPPORT,51.0,200
Lucian,ADC,Soraka,SUPPORT,50.68,219
Lucian,ADC,Sona,SUPPORT,50.48,622
Lucian,ADC,Thresh,SUPPORT,50.37,540
Lucian,ADC,Alistar,SUPPORT,50.31,324
Lucian,ADC,Braum,SUPPORT,50.09,2264
Lucian,ADC,Rell,SUPPORT,50.0,270
Lulu,SUPPORT,Yasuo,ADC,60.19,108
Lulu,SUPPORT,Kog'Maw,ADC,54.27,691
Lulu,SUPPORT,Xayah,ADC,53.98,176
Lulu,SUPPORT,Tristana,ADC,53.61,638
Lulu,SUPPORT,Twitch,ADC,53.36,1818
Lulu,SUPPORT,Zeri,ADC,52.41,809
Lulu,SUPPORT,Jinx,ADC,51.79,2879
Lulu,SUPPORT,Sivir,ADC,51.04,868
Lulu,SUPPORT,Lucian,ADC,51.0,200
Lulu,SUPPORT,Varus,ADC,50.51,891
Lux,MID,Warwick,JUNGLE,66.67,21
Lux,MID,Master Yi,JUNGLE,65.06,83
Lux,MID,Nunu & Willump,JUNGLE,61.54,52
Lux,MID,Rammus,JUNGLE,60.0,40
Lux,MID,Shaco,JUNGLE,59.62,52
Lux,MID,Dr. Mundo,JUNGLE,58.73,63
Lux,MID,Bel'Veth,JUNGLE,58.62,29
Lux,MID,Nidalee,JUNGLE,56.1,41
Lux,MID,Malphite,JUNGLE,55.36,56
Lux,MID,Vi,JUNGLE,54.72,53
Lux,MID,Graves,JUNGLE,54.08,98
Lux,MID,Evelynn,JUNGLE,54.02,87
Lux,MID,Kha'Zix,JUNGLE,53.6,222
Lux,MID,Elise,JUNGLE,53.49,43
Lux,MID,Fiddlesticks,JUNGLE,52.94,34
Lux,MID,Rengar,JUNGLE,52.53,99
Lux,MID,Sejuani,JUNGLE,52.38,21
Lux,MID,Zed,JUNGLE,52.34,107
Lux,MID,Lee Sin,JUNGLE,51.59,252
Lux,MID,Udyr,JUNGLE,51.43,35
Lux,MID,Rek'Sai,JUNGLE,51.35,74
Lux,MID,Hecarim,JUNGLE,50.0,76
Lux,MID,Naafiri,JUNGLE,50.0,28
Lux,MID,Sylas,JUNGLE,50.0,60
Lux,SUPPORT,Vayne,ADC,66.67,21
Lux,SUPPORT,Samira,ADC,62.5,24
Lux,SUPPORT,Kog'Maw,ADC,60.0,15
Lux,SUPPORT,Zeri,ADC,57.14,21
Lux,SUPPORT,Ziggs,ADC,56.0,25
Lux,SUPPORT,Twitch,ADC,52.94,34
Lux,SUPPORT,Tristana,ADC,52.17,23
Lux,SUPPORT,Kai'Sa,ADC,52.14,140
Lux,SUPPORT,Jhin,ADC,51.8,222
Lux,SUPPORT,Caitlyn,ADC,50.8,996
Malphite,JUNGLE,Zilean,SUPPORT,58.62,58
Malphite,JUNGLE,Soraka,SUPPORT,57.41,108
Malphite,JUNGLE,Pantheon,SUPPORT,56.67,30
Malphite,JUNGLE,Rell,SUPPORT,54.35,92
Malphite,JUNGLE,Janna,SUPPORT,52.71,129
Malphite,JUNGLE,Bard,SUPPORT,52.59,135
Malphite,JUNGLE,Taric,SUPPORT,51.85,27
Malphite,JUNGLE,Elise,SUPPORT,51.35,37
Malphite,JUNGLE,Alistar,SUPPORT,50.0,104
Malphite,TOP,Karthus,JUNGLE,55.86,111
Malphite,TOP,Xin Zhao,JUNGLE,53.57,112
Malphite,TOP,Nunu & Willump,JUNGLE,52.47,162
Malphite,TOP,Lillia,JUNGLE,51.95,77
Malphite,TOP,Rek'Sai,JUNGLE,51.38,181
Malphite,TOP,Bel'Veth,JUNGLE,51.02,98
Malphite,TOP,Kha'Zix,JUNGLE,50.82,486
Malphite,TOP,Lee Sin,JUNGLE,50.38,661
Malphite,TOP,Diana,JUNGLE,50.0,542
Malphite,TOP,Elise,JUNGLE,50.0,134
Malphite,TOP,Master Yi,JUNGLE,50.0,190
Malphite,TOP,Nocturne,JUNGLE,50.0,118
Malzahar,MID,Rek'Sai,JUNGLE,58.7,92
Malzahar,MID,Bel'Veth,JUNGLE,57.78,45
Malzahar,MID,Rammus,JUNGLE,57.14,28
Malzahar,MID,Wukong,JUNGLE,57.14,56
Malzahar,MID,Zed,JUNGLE,56.2,137
Malzahar,MID,Zac,JUNGLE,55.56,90
Malzahar,MID,Fiddlesticks,JUNGLE,55.26,38
Malzahar,MID,Qiyana,JUNGLE,54.81,135
Malzahar,MID,Volibear,JUNGLE,53.26,92
Malzahar,MID,Kha'Zix,JUNGLE,52.65,245
Malzahar,MID,Nidalee,JUNGLE,52.54,59
Malzahar,MID,Lee Sin,JUNGLE,51.74,317
Malzahar,MID,Kindred,JUNGLE,51.72,58
Malzahar,MID,Naafiri,JUNGLE,51.52,66
Malzahar,MID,Talon,JUNGLE,51.52,165
Malzahar,MID,Rengar,JUNGLE,51.02,147
Malzahar,MID,Ekko,JUNGLE,50.7,142
Malzahar,MID,Diana,JUNGLE,50.53,188
Maokai,SUPPORT,Swain,ADC,75.0,24
Maokai,SUPPORT,Vayne,ADC,63.64,22
Maokai,SUPPORT,Yunara,ADC,60.71,112
Maokai,SUPPORT,Ezreal,ADC,60.18,113
Maokai,SUPPORT,Miss Fortune,ADC,58.02,81
Maokai,SUPPORT,Smolder,ADC,57.45,47
Maokai,SUPPORT,Yasuo,ADC,57.14,35
Maokai,SUPPORT,Ziggs,ADC,55.56,27
Maokai,SUPPORT,Samira,ADC,54.24,59
Maokai,SUPPORT,Jinx,ADC,53.85,78
Maokai,SUPPORT,Ashe,ADC,52.38,42
Master Yi,JUNGLE,Poppy,SUPPORT,62.5,56
Master Yi,JUNGLE,Elise,SUPPORT,60.71,56
Master Yi,JUNGLE,Senna,SUPPORT,58.0,100
Master Yi,JUNGLE,Braum,SUPPORT,56.55,435
Master Yi,JUNGLE,Karma,SUPPORT,56.19,299
Master Yi,JUNGLE,Neeko,SUPPORT,54.55,121
Master Yi,JUNGLE,Vel'Koz,SUPPORT,54.0,50
Master Yi,JUNGLE,Leona,SUPPORT,53.77,199
Master Yi,JUNGLE,Sona,SUPPORT,53.25,246
Master Yi,JUNGLE,Pantheon,SUPPORT,52.27,44
Master Yi,JUNGLE,Lulu,SUPPORT,52.04,465
Master Yi,JUNGLE,Maokai,SUPPORT,51.52,33
Master Yi,JUNGLE,Pyke,SUPPORT,51.52,165
Master Yi,JUNGLE,Seraphine,SUPPORT,51.38,109
Master Yi,JUNGLE,Rakan,SUPPORT,51.35,222
Master Yi,JUNGLE,Soraka,SUPPORT,50.97,155
Master Yi,JUNGLE,Milio,SUPPORT,50.31,163
Master Yi,JUNGLE,Morgana,SUPPORT,50.0,56
Mel,ADC,Yuumi,SUPPORT,73.68,19
Mel,ADC,Poppy,SUPPORT,73.08,26
Mel,ADC,Neeko,SUPPORT,71.05,38
Mel,ADC,Sona,SUPPORT,60.82,97
Mel,ADC,Zyra,SUPPORT,60.0,15
Mel,ADC,Milio,SUPPORT,56.25,16
Mel,ADC,Taric,SUPPORT,56.25,16
Mel,ADC,Leona,SUPPORT,55.95,84
Mel,ADC,Alistar,SUPPORT,55.71,70
Mel,ADC,Seraphine,SUPPORT,54.72,53
Mel,ADC,Morgana,SUPPORT,54.55,22
Mel,ADC,Pantheon,SUPPORT,54.17,24
Mel,ADC,Janna,SUPPORT,53.66,82
Mel,ADC,Soraka,SUPPORT,53.13,64
Mel,ADC,Nami,SUPPORT,50.6,332
Mel,ADC,Karma,SUPPORT,50.0,128
Mel,MID,Evelynn,JUNGLE,54.29,35
Mel,MID,Amumu,JUNGLE,52.17,23
Mel,MID,Kindred,JUNGLE,51.56,64
Mel,MID,Bel'Veth,JUNGLE,50.98,51
Mel,MID,Lillia,JUNGLE,50.0,32
Mel,MID,Rengar,JUNGLE,50.0,120
Mel,MID,Xin Zhao,JUNGLE,50.0,56
Milio,SUPPORT,Tristana,ADC,57.49,167
Milio,SUPPORT,Kog'Maw,ADC,52.59,232
Milio,SUPPORT,Jhin,ADC,52.27,176
Milio,SUPPORT,Vayne,ADC,51.06,282
Milio,SUPPORT,Zeri,ADC,50.78,128
Milio,SUPPORT,Corki,ADC,50.22,223
Miss Fortune,ADC,Maokai,SUPPORT,58.02,81
Miss Fortune,ADC,Zilean,SUPPORT,57.25,138
Miss Fortune,ADC,Poppy,SUPPORT,56.14,114
Miss Fortune,ADC,Soraka,SUPPORT,56.12,196
Miss Fortune,ADC,Rakan,SUPPORT,56.11,401
Miss Fortune,ADC,Taric,SUPPORT,55.56,81
Miss Fortune,ADC,Leona,SUPPORT,55.1,608
Miss Fortune,ADC,Zyra,SUPPORT,54.72,53
Miss Fortune,ADC,Pantheon,SUPPORT,52.04,98
Miss Fortune,ADC,Braum,SUPPORT,51.97,533
Miss Fortune,ADC,Pyke,SUPPORT,51.97,304
Miss Fortune,ADC,Rell,SUPPORT,51.75,742
Miss Fortune,ADC,Bard,SUPPORT,51.46,515
Miss Fortune,ADC,Blitzcrank,SUPPORT,51.25,320
Miss Fortune,ADC,Morgana,SUPPORT,50.0,94
Mordekaiser,TOP,Karthus,JUNGLE,62.96,27
Mordekaiser,TOP,Bel'Veth,JUNGLE,60.38,53
Mordekaiser,TOP,Shaco,JUNGLE,59.76,82
Mordekaiser,TOP,Rengar,JUNGLE,59.31,145
Mordekaiser,TOP,Briar,JUNGLE,57.89,57
Mordekaiser,TOP,Graves,JUNGLE,57.42,155
Mordekaiser,TOP,Rek'Sai,JUNGLE,57.02,114
Mordekaiser,TOP,Ekko,JUNGLE,56.77,155
Mordekaiser,TOP,Volibear,JUNGLE,55.41,74
Mordekaiser,TOP,Kindred,JUNGLE,55.36,56
Mordekaiser,TOP,Kayn,JUNGLE,54.22,83
Mordekaiser,TOP,Kha'Zix,JUNGLE,53.02,232
Mordekaiser,TOP,Naafiri,JUNGLE,50.98,51
Mordekaiser,TOP,Jarvan IV,JUNGLE,50.8,187
Mordekaiser,TOP,Nunu & Willump,JUNGLE,50.75,67
Mordekaiser,TOP,Diana,JUNGLE,50.31,159
Mordekaiser,TOP,Nidalee,JUNGLE,50.0,50
Mordekaiser,TOP,Sejuani,JUNGLE,50.0,30
Mordekaiser,TOP,Warwick,JUNGLE,50.0,26
Morgana,SUPPORT,Seraphine,ADC,66.67,36
Morgana,SUPPORT,Nilah,ADC,64.71,17
Morgana,SUPPORT,Xayah,ADC,60.0,30
Morgana,SUPPORT,Draven,ADC,54.69,64
Morgana,SUPPORT,Ashe,ADC,54.55,55
Morgana,SUPPORT,Mel,ADC,54.55,22
Morgana,SUPPORT,Yunara,ADC,53.8,171
Morgana,SUPPORT,Smolder,ADC,53.15,111
Morgana,SUPPORT,Jinx,ADC,52.07,169
Morgana,SUPPORT,Caitlyn,ADC,51.88,665
Morgana,SUPPORT,Swain,ADC,51.85,27
Morgana,SUPPORT,Jhin,ADC,51.0,200
Morgana,SUPPORT,Sivir,ADC,50.59,85
Morgana,SUPPORT,Miss Fortune,ADC,50.0,94
Morgana,SUPPORT,Twitch,ADC,50.0,66
Morgana,SUPPORT,Zeri,ADC,50.0,38
Naafiri,JUNGLE,Taric,SUPPORT,66.67,33
Naafiri,JUNGLE,Zyra,SUPPORT,64.71,17
Naafiri,JUNGLE,Zilean,SUPPORT,60.47,43
Naafiri,JUNGLE,Thresh,SUPPORT,58.43,178
Naafiri,JUNGLE,Elise,SUPPORT,55.56,36
Naafiri,JUNGLE,Morgana,SUPPORT,55.56,27
Naafiri,JUNGLE,Sona,SUPPORT,54.61,152
Naafiri,JUNGLE,Vel'Koz,SUPPORT,54.17,24
Naafiri,JUNGLE,Alistar,SUPPORT,53.91,115
Naafiri,JUNGLE,Pyke,SUPPORT,52.58,97
Naafiri,JUNGLE,Nami,SUPPORT,52.0,275
Naafiri,JUNGLE,Neeko,SUPPORT,51.9,79
Naafiri,JUNGLE,Janna,SUPPORT,51.75,114
Naafiri,JUNGLE,Lux,SUPPORT,51.72,29
Naafiri,JUNGLE,Karma,SUPPORT,50.25,201
Naafiri,JUNGLE,Leona,SUPPORT,50.0,100
Nami,SUPPORT,Veigar,ADC,59.33,150
Nami,SUPPORT,Swain,ADC,55.28,284
Nami,SUPPORT,Seraphine,ADC,52.98,285
Nami,SUPPORT,Tristana,ADC,52.96,372
Nami,SUPPORT,Ziggs,ADC,52.94,340
Nami,SUPPORT,Corki,ADC,52.85,2246
Nami,SUPPORT,Twitch,ADC,52.24,626
Nami,SUPPORT,Varus,ADC,52.21,1153
Nami,SUPPORT,Mel,ADC,50.6,332
Nami,SUPPORT,Jinx,ADC,50.58,781
Nami,SUPPORT,Nilah,ADC,50.49,206
Nami,SUPPORT,Hwei,ADC,50.33,151
Nasus,TOP,Nidalee,JUNGLE,64.1,39
Nasus,TOP,Udyr,JUNGLE,63.89,36
Nasus,TOP,Graves,JUNGLE,60.61,66
Nasus,TOP,Lillia,JUNGLE,57.14,35
Nasus,TOP,Jarvan IV,JUNGLE,55.8,138
Nasus,TOP,Rengar,JUNGLE,54.64,97
Nasus,TOP,Zac,JUNGLE,53.57,56
Nasus,TOP,Malphite,JUNGLE,52.5,40
Nasus,TOP,Lee Sin,JUNGLE,52.04,196
Nasus,TOP,Zed,JUNGLE,52.0,75
Nasus,TOP,Diana,JUNGLE,51.56,225
Nasus,TOP,Evelynn,JUNGLE,51.35,37
Nasus,TOP,Ivern,JUNGLE,51.11,45
Nasus,TOP,Ekko,JUNGLE,50.0,192
Nasus,TOP,Naafiri,JUNGLE,50.0,40
Nasus,TOP,Xin Zhao,JUNGLE,50.0,40
Nautilus,SUPPORT,Jinx,ADC,53.0,949
Nautilus,SUPPORT,Samira,ADC,52.67,1086
Nautilus,SUPPORT,Cassiopeia,ADC,51.23,203
Nautilus,SUPPORT,Seraphine,ADC,51.2,125
Nautilus,SUPPORT,Nilah,ADC,51.04,192
Nautilus,SUPPORT,Kalista,ADC,50.0,186
Nautilus,SUPPORT,Yasuo,ADC,50.0,196
Neeko,MID,Fiddlesticks,JUNGLE,81.82,11
Neeko,MID,Shaco,JUNGLE,75.0,20
Neeko,MID,Naafiri,JUNGLE,71.43,7
Neeko,MID,Graves,JUNGLE,64.29,28
Neeko,MID,Zac,JUNGLE,63.64,22
Neeko,MID,Talon,JUNGLE,63.16,38
Neeko,MID,Rek'Sai,JUNGLE,62.96,27
Neeko,MID,Zed,JUNGLE,61.29,31
Neeko,MID,Nunu & Willump,JUNGLE,60.87,23
Neeko,MID,Rengar,JUNGLE,60.0,30
Neeko,MID,Master Yi,JUNGLE,59.09,22
Neeko,MID,Sylas,JUNGLE,59.09,22
Neeko,MID,Kha'Zix,JUNGLE,57.14,70
Neeko,MID,Trundle,JUNGLE,57.14,7
Neeko,MID,Diana,JUNGLE,56.86,51
Neeko,MID,Malphite,JUNGLE,56.25,16
Neeko,MID,Lillia,JUNGLE,55.56,9
Neeko,MID,Volibear,JUNGLE,55.56,18
Neeko,MID,Jayce,JUNGLE,54.43,79
Neeko,MID,Vi,JUNGLE,54.17,24
Neeko,MID,Nocturne,JUNGLE,53.85,13
Neeko,MID,Viego,JUNGLE,53.24,139
Neeko,MID,Ekko,JUNGLE,52.83,53
Neeko,MID,Jarvan IV,JUNGLE,51.16,43
Neeko,MID,Briar,JUNGLE,50.0,16
Neeko,MID,Dr. Mundo,JUNGLE,50.0,20
Neeko,SUPPORT,Mel,ADC,71.05,38
Neeko,SUPPORT,Tristana,ADC,63.03,119
Neeko,SUPPORT,Yunara,ADC,58.11,475
Neeko,SUPPORT,Kai'Sa,ADC,55.29,1105
Neeko,SUPPORT,Vayne,ADC,53.85,52
Neeko,SUPPORT,Sivir,ADC,53.21,280
Neeko,SUPPORT,Samira,ADC,52.86,70
Neeko,SUPPORT,Yasuo,ADC,52.73,55
Neeko,SUPPORT,Varus,ADC,52.29,742
Neeko,SUPPORT,Corki,ADC,52.19,228
Neeko,SUPPORT,Draven,ADC,51.76,85
Neeko,SUPPORT,Caitlyn,ADC,51.56,799
Neeko,SUPPORT,Ashe,ADC,51.45,138
Neeko,SUPPORT,Nilah,ADC,51.16,43
Neeko,SUPPORT,Xayah,ADC,50.0,50
Nidalee,JUNGLE,Lux,SUPPORT,64.86,37
Nidalee,JUNGLE,Leona,SUPPORT,59.12,318
Nidalee,JUNGLE,Thresh,SUPPORT,56.95,367
Nidalee,JUNGLE,Elise,SUPPORT,56.0,50
Nidalee,JUNGLE,Janna,SUPPORT,55.56,126
Nidalee,JUNGLE,Blitzcrank,SUPPORT,54.94,162
Nidalee,JUNGLE,Pyke,SUPPORT,54.84,186
Nidalee,JUNGLE,Alistar,SUPPORT,54.33,254
Nidalee,JUNGLE,Lulu,SUPPORT,54.14,290
Nidalee,JUNGLE,Soraka,SUPPORT,53.76,93
Nidalee,JUNGLE,Poppy,SUPPORT,53.73,67
Nidalee,JUNGLE,Zilean,SUPPORT,53.45,58
Nidalee,JUNGLE,Sona,SUPPORT,53.33,135
Nidalee,JUNGLE,Bard,SUPPORT,53.1,258
Nidalee,JUNGLE,Neeko,SUPPORT,52.83,106
Nidalee,JUNGLE,Braum,SUPPORT,51.86,430
Nidalee,JUNGLE,Rakan,SUPPORT,51.46,171
Nidalee,JUNGLE,Vel'Koz,SUPPORT,51.43,35
Nidalee,JUNGLE,Taric,SUPPORT,51.11,45
Nidalee,JUNGLE,Pantheon,SUPPORT,50.65,77
Nidalee,JUNGLE,Nami,SUPPORT,50.63,316
Nidalee,JUNGLE,Nautilus,SUPPORT,50.31,491
Nidalee,JUNGLE,Renata Glasc,SUPPORT,50.0,30
Nilah,ADC,Morgana,SUPPORT,64.71,17
Nilah,ADC,Rakan,SUPPORT,59.52,126
Nilah,ADC,Senna,SUPPORT,59.0,200
Nilah,ADC,Leona,SUPPORT,58.33,108
Nilah,ADC,Thresh,SUPPORT,57.06,170
Nilah,ADC,Taric,SUPPORT,55.66,106
Nilah,ADC,Sona,SUPPORT,54.92,244
Nilah,ADC,Seraphine,SUPPORT,54.55,66
Nilah,ADC,Pyke,SUPPORT,53.85,117
Nilah,ADC,Vel'Koz,SUPPORT,52.63,19
Nilah,ADC,Braum,SUPPORT,51.35,111
Nilah,ADC,Neeko,SUPPORT,51.16,43
Nilah,ADC,Nautilus,SUPPORT,51.04,192
Nilah,ADC,Janna,SUPPORT,50.98,102
Nilah,ADC,Nami,SUPPORT,50.49,206
Nilah,ADC,Rell,SUPPORT,50.45,111
Nilah,ADC,Elise,SUPPORT,50.0,24
Nilah,ADC,Karma,SUPPORT,50.0,152
Nilah,ADC,Poppy,SUPPORT,50.0,18
Nocturne,JUNGLE,Zyra,SUPPORT,69.23,26
Nocturne,JUNGLE,Vel'Koz,SUPPORT,60.71,28
Nocturne,JUNGLE,Poppy,SUPPORT,58.62,29
Nocturne,JUNGLE,Senna,SUPPORT,56.72,67
Nocturne,JUNGLE,Nami,SUPPORT,55.67,282
Nocturne,JUNGLE,Lulu,SUPPORT,54.17,216
Nocturne,JUNGLE,Milio,SUPPORT,53.54,99
Nocturne,JUNGLE,Maokai,SUPPORT,52.38,21
Nocturne,JUNGLE,Renata Glasc,SUPPORT,52.38,21
Nocturne,JUNGLE,Blitzcrank,SUPPORT,51.76,85
Nocturne,JUNGLE,Yuumi,SUPPORT,51.61,62
Nocturne,JUNGLE,Rakan,SUPPORT,51.15,131
Nocturne,JUNGLE,Leona,SUPPORT,51.05,143
Nocturne,JUNGLE,Alistar,SUPPORT,50.43,115
Nocturne,JUNGLE,Janna,SUPPORT,50.35,141
Nocturne,JUNGLE,Bard,SUPPORT,50.0,154
Nocturne,JUNGLE,Pantheon,SUPPORT,50.0,30
Nocturne,JUNGLE,Rell,SUPPORT,50.0,84
Nunu & Willump,JUNGLE,Renata Glasc,SUPPORT,62.07,29
Nunu & Willump,JUNGLE,Yuumi,SUPPORT,58.54,82
Nunu & Willump,JUNGLE,Seraphine,SUPPORT,56.44,101
Nunu & Willump,JUNGLE,Leona,SUPPORT,55.56,171
Nunu & Willump,JUNGLE,Alistar,SUPPORT,55.19,183
Nunu & Willump,JUNGLE,Taric,SUPPORT,54.1,61
Nunu & Willump,JUNGLE,Blitzcrank,SUPPORT,53.95,152
Nunu & Willump,JUNGLE,Poppy,SUPPORT,53.45,58
Nunu & Willump,JUNGLE,Senna,SUPPORT,53.03,132
Nunu & Willump,JUNGLE,Bard,SUPPORT,52.65,245
Nunu & Willump,JUNGLE,Pyke,SUPPORT,52.55,196
Nunu & Willump,JUNGLE,Lulu,SUPPORT,52.42,351
Nunu & Willump,JUNGLE,Rell,SUPPORT,51.97,152
